Table ID,Table Name,Table Label,Record Family,Category,Is Custom,Is System,Field Count,Has Overview,Base Type,Description,Available,Feature Required,Permission Required
storeUpsellDisplay,storeUpsellDisplay,Store Upsell Display,OTHER,System,No,Yes,0,No,,,Yes,,
LocationAssignmentGroupingStrategy,LocationAssignmentGroupingStrategy,Strategies,SETUP,System,No,Yes,0,No,,,Yes,,
CUSTOMRECORD_SUBNAV_SETTINGS,CUSTOMRECORD_SUBNAV_SETTINGS,SubNav - Settings,CUSTOM,Custom,Yes,No,0,No,,,Yes,,
InventoryDetailLine,InventoryDetailLine,Subrecord,OTHER,System,No,Yes,0,No,,,Yes,,
subscription,subscription,Subscription,OTHER,System,No,Yes,0,No,,,Yes,,
subscriptionChangeOrder,subscriptionChangeOrder,Subscription Change Order,OTHER,System,No,Yes,0,No,,,Yes,,
subscriptionLine,subscriptionLine,Subscription Line,OTHER,System,No,Yes,0,No,,,Yes,,
SubscriptionLineRevision,SubscriptionLineRevision,Subscription Line Revision,OTHER,System,No,Yes,0,No,,,Yes,,
subscriptionPlan,subscriptionPlan,Subscription Plan,OTHER,System,No,Yes,0,No,,,Yes,,
SubscriptionRenewalHistory,SubscriptionRenewalHistory,Subscription Renewal History,OTHER,System,No,Yes,0,No,,,Yes,,
SubscriptionStatus,SubscriptionStatus,Subscription Status,OTHER,System,No,Yes,0,No,,,Yes,,
subscriptionTerm,subscriptionTerm,Subscription Term,OTHER,System,No,Yes,0,No,,,Yes,,
Subsidiary,Subsidiary,Subsidiary,SETUP,System,No,Yes,0,No,,,Yes,,
SubsidiarySettings,SubsidiarySettings,Subsidiary Settings,SETUP,System,No,Yes,0,No,,,Yes,,
subtotalItem,subtotalItem,Subtotal Item,ITEM,System,No,Yes,0,No,,,Yes,,
suitelet,suitelet,Suitelet,OTHER,System,No,Yes,0,No,,,Yes,,
suiteletDeployment,suiteletDeployment,Suitelet Deployment,OTHER,System,No,Yes,0,No,,,Yes,,
CUSTOMLIST_SQRT_QUERY_CATEGORIES,CUSTOMLIST_SQRT_QUERY_CATEGORIES,SuiteQL Query Categories,OTHER,System,No,Yes,0,No,,,Yes,,
CUSTOMRECORD_SQRT_QUERY_HISTORY,CUSTOMRECORD_SQRT_QUERY_HISTORY,SuiteQL Query History,CUSTOM,Custom,Yes,No,0,No,,,Yes,,
CUSTOMLIST_SQRT_RESULT_FORMATS,CUSTOMLIST_SQRT_RESULT_FORMATS,SuiteQL Result Formats,OTHER,System,No,Yes,0,No,,,Yes,,
CUSTOMRECORD_SQRT_SAVED_QUERIES,CUSTOMRECORD_SQRT_SAVED_QUERIES,SuiteQL Saved Query,CUSTOM,Custom,Yes,No,0,No,,,Yes,,
CUSTOMLIST_SQRT_SHARING_LEVELS,CUSTOMLIST_SQRT_SHARING_LEVELS,SuiteQL Sharing Levels,OTHER,System,No,Yes,0,No,,,Yes,,
